,areas,lats,lons,zipcode
0,Alameda,37.773545,-122.278487,94501
1,Alameda,37.734264,-122.243905,94502
2,Alpine,32.789915,-116.711202,91901
3,Alpine,32.835200,-116.765900,91903
4,Colusa,39.256569,-122.065335,95932
5,Del Norte,37.639914,-106.466060,81132
6,El Dorado,38.609249,-120.848287,95623
7,Fresno,36.842406,-119.803114,93650
8,Fresno,36.750442,-119.792952,93701
9,Fresno,36.741234,-119.752314,93702
10,Fresno,36.768629,-119.761159,93703
11,Fresno,36.801012,-119.802007,93704
12,Fresno,36.786462,-119.828222,93705
13,Fresno,36.641254,-119.904763,93706
14,Fresno,36.747500,-119.771600,93707
15,Fresno,36.747500,-119.771600,93708
16,Fresno,36.747500,-119.771600,93709
17,Fresno,36.823080,-119.758917,93710
18,Fresno,36.842136,-119.828492,93711
19,Fresno,36.747500,-119.771600,93712
20,Fresno,36.747500,-119.771600,93714
21,Fresno,36.747500,-119.771600,93715
22,Fresno,36.747500,-119.771600,93716
23,Fresno,36.747500,-119.771600,93717
24,Fresno,36.747500,-119.771600,93718
25,Fresno,36.861368,-119.761194,93720
26,Fresno,36.729242,-119.788794,93721
27,Fresno,36.804425,-119.888939,93722
28,Fresno,36.787860,-119.952447,93723
29,Fresno,36.747500,-119.771600,93724
30,Fresno,36.605712,-119.718529,93725
31,Fresno,36.793996,-119.759006,93726
32,Fresno,36.754114,-119.673254,93727
33,Fresno,36.757392,-119.817429,93728
34,Fresno,36.747500,-119.771600,93729
35,Fresno,36.905141,-119.760045,93730
36,Fresno,36.750574,-119.657832,93737
37,Fresno,36.840900,-119.798800,93740
38,Fresno,36.767718,-119.795461,93741
39,Fresno,36.747500,-119.771600,93744
40,Fresno,36.710900,-119.757500,93745
41,Fresno,36.747500,-119.771600,93747
42,Fresno,36.747500,-119.771600,93750
43,Fresno,36.747500,-119.771600,93755
44,Fresno,36.747500,-119.771600,93760
45,Fresno,36.747500,-119.771600,93761
46,Fresno,36.747500,-119.771600,93764
47,Fresno,36.747500,-119.771600,93765
48,Fresno,36.747500,-119.771600,93771
49,Fresno,36.747500,-119.771600,93772
50,Fresno,36.747500,-119.771600,93773
51,Fresno,36.747500,-119.771600,93774
52,Fresno,36.747500,-119.771600,93775
53,Fresno,36.747500,-119.771600,93776
54,Fresno,36.747500,-119.771600,93777
55,Fresno,36.747500,-119.771600,93778
56,Fresno,36.747500,-119.771600,93779
57,Fresno,36.747500,-119.771600,93786
58,Fresno,36.747500,-119.771600,93790
59,Fresno,36.747500,-119.771600,93791
60,Fresno,36.747500,-119.771600,93792
61,Fresno,36.747500,-119.771600,93793
62,Fresno,36.747500,-119.771600,93794
63,Fresno,36.747500,-119.771600,93844
64,Fresno,36.747500,-119.771600,93888
65,Glenn,39.592192,-122.029880,95943
66,Imperial,32.885116,-115.630534,92251
67,Los Angeles,33.973593,-118.247897,90001
68,Los Angeles,33.949009,-118.245976,90002
69,Los Angeles,33.964032,-118.273705,90003
70,Los Angeles,34.076067,-118.310767,90004
71,Los Angeles,34.058384,-118.311342,90005
72,Los Angeles,34.047604,-118.292271,90006
73,Los Angeles,34.026540,-118.282786,90007
74,Los Angeles,34.006924,-118.345668,90008
75,Los Angeles,34.052200,-118.242500,90009
76,Los Angeles,34.063288,-118.312069,90010
77,Los Angeles,34.009842,-118.258642,90011
78,Los Angeles,34.065549,-118.240540,90012
79,Los Angeles,34.045639,-118.241644,90013
80,Los Angeles,34.043027,-118.252267,90014
81,Los Angeles,34.040499,-118.267022,90015
82,Los Angeles,34.029034,-118.357757,90016
83,Los Angeles,34.052850,-118.264858,90017
84,Los Angeles,34.027281,-118.317659,90018
85,Los Angeles,34.048545,-118.339502,90019
86,Los Angeles,34.066086,-118.311404,90020
87,Los Angeles,34.029837,-118.240344,90021
88,Los Angeles,34.029386,-118.151264,90022
89,Los Angeles,34.017238,-118.200211,90023
90,Los Angeles,34.065677,-118.434088,90024
91,Los Angeles,34.045358,-118.443574,90025
92,Los Angeles,34.076068,-118.262339,90026
93,Los Angeles,34.128046,-118.289065,90027
94,Los Angeles,34.099603,-118.327532,90028
95,Los Angeles,34.089679,-118.292618,90029
96,Los Angeles,34.052200,-118.242900,90030
97,Los Angeles,34.079130,-118.218128,90031
98,Los Angeles,34.082594,-118.177274,90032
99,Los Angeles,34.049662,-118.211313,90033
100,Los Angeles,34.029334,-118.399406,90034
101,Los Angeles,34.052107,-118.385271,90035
102,Los Angeles,34.070436,-118.350486,90036
103,Los Angeles,34.003290,-118.288940,90037
104,Los Angeles,34.089167,-118.327150,90038
105,Los Angeles,34.120590,-118.255117,90039
106,Los Angeles,33.994062,-118.152349,90040
107,Los Angeles,34.134100,-118.205333,90041
108,Los Angeles,34.113302,-118.191494,90042
109,Los Angeles,33.985471,-118.337998,90043
110,Los Angeles,33.953125,-118.291963,90044
111,Los Angeles,33.955074,-118.402000,90045
112,Los Angeles,34.107270,-118.368890,90046
113,Los Angeles,33.953042,-118.309428,90047
114,Los Angeles,34.070997,-118.376175,90048
115,Los Angeles,34.086348,-118.488260,90049
116,Los Angeles,34.052200,-118.242900,90050
117,Los Angeles,34.052200,-118.242900,90051
118,Los Angeles,34.052200,-118.242900,90052
119,Los Angeles,34.052200,-118.242900,90053
120,Los Angeles,34.052200,-118.242900,90054
121,Los Angeles,34.052200,-118.242900,90055
122,Los Angeles,33.994486,-118.374313,90056
123,Los Angeles,34.062349,-118.276150,90057
124,Los Angeles,34.001856,-118.212618,90058
125,Los Angeles,33.920710,-118.245186,90059
126,Los Angeles,34.052200,-118.242900,90060
127,Los Angeles,33.920602,-118.273928,90061
128,Los Angeles,34.003654,-118.309719,90062
129,Los Angeles,34.043832,-118.187484,90063
130,Los Angeles,34.037084,-118.427894,90064
131,Los Angeles,34.111484,-118.228648,90065
132,Los Angeles,34.000150,-118.432598,90066
133,Los Angeles,34.057750,-118.413800,90067
134,Los Angeles,34.129853,-118.335456,90068
135,Los Angeles,34.094175,-118.380910,90069
136,Los Angeles,34.057800,-118.272500,90070
137,Los Angeles,34.052456,-118.255309,90071
138,Los Angeles,34.052200,-118.242900,90072
139,Los Angeles,34.059232,-118.451407,90073
140,Los Angeles,34.052200,-118.242900,90074
141,Los Angeles,34.052200,-118.242900,90075
142,Los Angeles,34.052200,-118.242900,90076
143,Los Angeles,34.102676,-118.452472,90077
144,Los Angeles,34.052200,-118.242900,90078
145,Los Angeles,34.052900,-118.240700,90079
146,Los Angeles,34.052200,-118.242900,90080
147,Los Angeles,34.052200,-118.242900,90081
148,Los Angeles,34.052200,-118.242900,90082
149,Los Angeles,34.052200,-118.242900,90083
150,Los Angeles,34.061700,-118.447400,90084
151,Los Angeles,34.052200,-118.242900,90086
152,Los Angeles,34.052200,-118.242900,90087
153,Los Angeles,34.052200,-118.242900,90088
154,Los Angeles,34.021843,-118.288333,90089
155,Los Angeles,34.000200,-118.153500,90091
156,Los Angeles,34.052200,-118.242900,90093
157,Los Angeles,34.071042,-118.443236,90095
158,Los Angeles,34.076500,-118.209300,90096
159,Los Angeles,34.059700,-118.248900,90099
162,Los Angeles,0.000000,0.000000,90134
163,Los Angeles,34.058300,-118.247600,90189
164,Los Angeles,33.995436,-118.399869,90230
165,Madera,36.976845,-119.870140,93636
166,Madera,36.912042,-120.157606,93637
167,Madera,37.022736,-120.043090,93638
168,Madera,37.151200,-119.969100,93639
169,Mariposa,37.510832,-119.980478,95338
170,Mendocino,39.318437,-123.707960,95460
171,Merced,37.375415,-120.380194,95340
172,Merced,37.245310,-120.488822,95341
173,Merced,37.302200,-120.481600,95343
174,Merced,37.302200,-120.481600,95344
175,Merced,37.364502,-120.521614,95348
176,Monterey,36.583624,-121.836902,93940
177,Monterey,36.600500,-121.893800,93942
178,Monterey,36.597176,-121.872933,93943
179,Monterey,36.571900,-121.904600,93944
180,Napa,38.529720,-122.279498,94558
181,Napa,38.251876,-122.328443,94559
182,Napa,38.297500,-122.284500,94581
183,Orange,33.787800,-117.852300,92856
184,Orange,33.787800,-117.852300,92857
185,Orange,33.787800,-117.852300,92859
186,Orange,33.811156,-117.699084,92862
187,Orange,33.787800,-117.852300,92863
188,Orange,33.787800,-117.852300,92864
189,Orange,33.829758,-117.850528,92865
190,Orange,33.784189,-117.842801,92866
191,Orange,33.813578,-117.819197,92867
192,Orange,33.788154,-117.881695,92868
193,Orange,33.800985,-117.785429,92869
194,Riverside,33.994259,-117.377758,92501
195,Riverside,33.953300,-117.395500,92502
196,Riverside,33.899075,-117.439968,92503
197,Riverside,33.903949,-117.405431,92504
198,Riverside,33.935482,-117.492285,92505
199,Riverside,33.932720,-117.349823,92506
200,Riverside,33.970023,-117.323008,92507
201,Riverside,33.888780,-117.321421,92508
202,Riverside,33.998649,-117.447392,92509
203,Riverside,33.953300,-117.395500,92513
204,Riverside,33.953300,-117.395500,92514
206,Riverside,33.953300,-117.395500,92516
207,Riverside,33.953300,-117.395500,92517
208,Riverside,33.884414,-117.278697,92518
209,Riverside,33.953300,-117.395500,92519
210,Riverside,33.968496,-117.333451,92521
211,Riverside,33.953300,-117.395500,92522
212,Sacramento,38.581900,-121.493500,94203
213,Sacramento,38.581900,-121.493500,94204
214,Sacramento,38.581900,-121.493500,94205
215,Sacramento,38.581900,-121.493500,94206
216,Sacramento,38.581900,-121.493500,94207
217,Sacramento,38.581900,-121.493500,94208
218,Sacramento,38.581900,-121.493500,94209
219,Sacramento,38.581900,-121.493500,94211
220,Sacramento,38.581900,-121.493500,94229
221,Sacramento,38.581900,-121.493500,94230
222,Sacramento,38.581900,-121.493500,94232
223,Sacramento,38.581900,-121.493500,94234
224,Sacramento,38.581900,-121.493500,94235
225,Sacramento,38.581900,-121.493500,94236
226,Sacramento,38.581900,-121.493500,94237
227,Sacramento,38.581900,-121.493500,94239
228,Sacramento,38.581900,-121.493500,94240
229,Sacramento,38.581900,-121.493500,94244
230,Sacramento,38.581900,-121.493500,94245
